phase,policy,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
ppo_eval,ppo,2.0,0.02,0.0,3,-118.86500256841863,25.98991297293127,-148.2753577406468,-89.45464739619047,58.68950128420932,13.644731001566257,43.249034615331674,74.12996795308698,74.3,64.97753457926824,0.7709977219872712,147.82900227801272,0.07487591170920006,0.0041708087631021525,0.07015619728745373,0.0795956261309464,0.7692872518333913,0.052553294473631544,0.7098176007595317,0.8287569029072509,0.23071274816660878,0.05255329447363161,0.17124309709274912,0.2901823992404684,242.82937660760965,0.8304611486425196,241.8896213508779,243.7691318643414,72.64102564102564,26.064733176878182,43.14600343761391,102.13604784443736,26.14102564102564,27.138297284228784,-4.568848714073617,56.850899996124895,1.217948717948718,1.0757777792717014,0.0005915606652782124,2.435305875232158
ppo_eval,ppo,4.0,0.02,0.0,3,-178.46472908673468,14.963035803959462,-195.39699807538227,-161.53246009808709,43.740682271683646,3.8672322866156246,39.364496972358815,48.11686757100848,175.1,34.98871246559382,135.50654458120636,214.69345541879363,0.07460433154809723,0.0019886630105609435,0.0723539475041266,0.07685471559206786,0.8271764651544121,0.014899634219895803,0.8103159418121518,0.8440369884966724,0.17282353484558777,0.014899634219895829,0.15596301150332748,0.18968405818784806,242.89157220674898,0.39524743732684303,242.44430762664814,243.3388367868498,37.9102564102564,15.870795503105086,19.950760620552803,55.869752199960004,56.833333333333336,19.01059862183598,35.32081583905838,78.34585082760829,5.256410256410256,4.400835943542134,0.27639557574992946,10.236424937070584
ppo_eval,ppo,4.0,0.06,0.0,3,-236.12856444182344,63.875950273889146,-308.4110067291546,-163.84612215449226,56.27064111045582,18.05926480413602,35.83465917422787,76.70662304668377,184.1,142.23104443123518,23.150421692589305,345.0495783074107,0.07438367432872973,0.00501904450087506,0.06870409080916608,0.08006325784829339,0.7789304344184492,0.0706403713234282,0.6989933291159459,0.8588675397209525,0.22106956558155078,0.07064037132342824,0.1411324602790474,0.30100667088405414,242.97252980163117,0.9883808433362486,241.85407158754555,244.0909880157168,32.76923076923077,51.64902033703203,-25.677137788902392,91.21559932736392,63.65384615384615,49.154854329374345,8.029892130925553,119.27780017676676,3.5769230769230766,6.062665845959458,-3.2836291690929524,10.437475322939106
ppo_eval,ppo,4.0,0.1,0.0,3,-266.62870616871487,33.83263315055085,-304.9139346881691,-228.34347764926068,65.69967654217872,8.833604598197162,55.70351191651838,75.69584116783906,38.300000000000004,15.09205088780183,21.221736700316004,55.37826329968401,0.07344482799445647,0.0027522804327825678,0.07033032949090184,0.07655932649801109,0.7421795954508018,0.0338735845475529,0.7038480260631853,0.7805111648384183,0.2578204045491982,0.03387358454755288,0.21948883516158166,0.2961519739368147,243.13456840190452,0.5439564958266967,242.51902368049025,243.75011312331878,85.6153846153846,5.929067899244046,78.90601267794725,92.32475655282195,14.038461538461538,6.058516427457729,7.182604801507858,20.89431827541522,0.3461538461538462,0.21414478318577013,0.10382621164684366,0.5884814806608487
static_screen,static_s1,1.0,0.02,0.0,3,-89.85150354701186,2.3056131435154286,-92.46055043036117,-87.24245666366255,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,1.0,0.06,0.0,3,-89.85150354701186,2.3056131435154286,-92.46055043036117,-87.24245666366255,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,1.0,0.1,0.0,3,-89.85150354701186,2.3056131435154286,-92.46055043036117,-87.24245666366255,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,2.0,0.02,0.0,3,-179.70300709402372,4.611226287030857,-184.92110086072233,-174.4849133273251,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,2.0,0.06,0.0,3,-179.70300709402372,4.611226287030857,-184.92110086072233,-174.4849133273251,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,2.0,0.1,0.0,3,-179.70300709402372,4.611226287030857,-184.92110086072233,-174.4849133273251,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,4.0,0.02,0.0,3,-359.40601418804744,9.222452574061714,-369.84220172144467,-348.9698266546502,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,4.0,0.06,0.0,3,-359.40601418804744,9.222452574061714,-369.84220172144467,-348.9698266546502,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,4.0,0.1,0.0,3,-359.40601418804744,9.222452574061714,-369.84220172144467,-348.9698266546502,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s2,1.0,0.02,0.0,3,-48.794923823252226,2.1870565070145935,-51.26981124284551,-46.32003640365894,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,1.0,0.06,0.0,3,-59.19492382325222,2.187056507014593,-61.669811242845505,-56.72003640365893,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,1.0,0.1,0.0,3,-69.5949238232522,2.1870565070145562,-72.06981124284545,-67.12003640365896,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,2.0,0.02,0.0,3,-92.38984764650422,4.37411301402913,-97.33962248569073,-87.44007280731772,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,2.0,0.06,0.0,3,-102.78984764650443,4.374113014029151,-107.73962248569096,-97.8400728073179,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,2.0,0.1,0.0,3,-113.189847646504,4.374113014029152,-118.13962248569054,-108.24007280731747,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,4.0,0.02,0.0,3,-179.5796952930087,8.748226028058387,-189.47924497138186,-169.68014561463556,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,4.0,0.06,0.0,3,-189.97969529300872,8.748226028058305,-199.87924497138178,-180.08014561463565,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,4.0,0.1,0.0,3,-200.37969529300798,8.748226028058305,-210.27924497138105,-190.48014561463492,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s3,1.0,0.02,0.0,3,-53.279532353614506,1.5113281570322001,-54.98976116147546,-51.569303545753556,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,1.0,0.06,0.0,3,-74.07953235361455,1.5113281570322128,-75.78976116147551,-72.3693035457536,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,1.0,0.1,0.0,3,-94.87953235361482,1.5113281570321933,-96.58976116147576,-93.16930354575388,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,2.0,0.02,0.0,3,-96.15906470722943,3.022656314064417,-99.57952232295135,-92.73860709150752,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,2.0,0.06,0.0,3,-116.95906470722939,3.0226563140643856,-120.37952232295126,-113.53860709150752,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,2.0,0.1,0.0,3,-137.75906470722933,3.0226563140643665,-141.1795223229512,-134.33860709150747,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,4.0,0.02,0.0,3,-181.91812941445835,6.045312628128738,-188.75904464590207,-175.07721418301463,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,4.0,0.06,0.0,3,-202.71812941445876,6.045312628128797,-209.55904464590253,-195.87721418301498,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,4.0,0.1,0.0,3,-223.51812941445792,6.0453126281287854,-230.3590446459017,-216.67721418301414,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
